cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
10,Caecilia Charbonnier,caecilia-charbonnier,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive, Culver City (Californie)",f-créatifs,Créatifs,Creatives,caecilia_charbonnier.jpg,© Olivier Vogelsang,New,37 ans,,f-moins-40,f-romand,f-femme,Recherche,«Soigner les phobies grâce à la réalité virtuelle» | https://www.letemps.ch/sciences/soigner-phobies-grace-realite-virtuelle,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Caecilia+Charbonnier”,https://www.linkedin.com/in/caecilia-charbonnier-b218485/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-caecilia-charbonnier.html
11,Alain Chuard,alain-chuard,"Fondateur Swisspreneur.org, Palo Alto (Californie)",f-entrepreneurs,Entrepreneurs,Expats,alain_chuard.jpg,Robert Houser,,45 ans,,f-plus-40,f-expat,f-homme,Services informatiques,«Un millionnaire de la Silicon Valley pour doper l’entrepreneuriat en Suisse» | https://www.letemps.ch/economie/un-millionnaire-silicon-valley-doper-lentrepreneuriat-suisse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Alain+Chuard”,https://www.linkedin.com/in/alainchuard/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-alain-chuard.html
12,Kate Darling,kate-darling,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston",f-chercheurs,Chercheurs,Researchers,kate_darling.jpg,DR? ,New,36 ans,,f-moins-40,f-expat,f-femme,Recherche,"«Il faut donner des droits aux robots, pour notre propre bien» | https://www.letemps.ch/sciences/faut-donner-droits-aux-robots-propre-bien",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Kate+Darling”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-kate-darling.html
13,Christian Decker,christian-decker,"Ingénieur logiciel et chercheur chez Blockstream, Zurich",f-leaders,Leaders,Tech Leaders,christian_decker.jpg,© Joseph Khakshouri ,New,33 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Decker”,https://www.linkedin.com/in/christiandecker/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-christian-decker.html
14,Marc Degen,marc-degen,"Cofondateur de Modum.io et de Moflix, Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,marc_degen.jpg,DR?,New,41 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marc+Degen”,https://www.linkedin.com/in/marcdegen/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-marc-degen.html
15,Paul-Olivier Dehaye,paul-olivier-dehaye,"CEO Personaldata.io, Lausanne",f-leaders,Leaders,Tech Leaders,paul_olivier_dehaye.jpg,© Olivier Vogelsang,New,37 ans,,f-moins-40,f-romand,f-homme,Services informatiques,«Facebook est désormais un puissant outil d’influence vendu au plus offrant» | https://www.letemps.ch/monde/facebook-desormais-un-puissant-outil-dinfluence-vendu-plus-offrant,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Paul-Olivier+Dehaye”,https://www.linkedin.com/in/paulolivierdehaye/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-paul-olivier-dehaye.html
16,Leila Delarive,leila-delarive,"Cofondatrice et CEO d’Amplify, Lausanne",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,leila_delarive.jpg,© Jean-Christophe Bott |Keystone ,New,41 ans,,f-plus-40,f-romand,f-femme,Services informatiques,"«Leila Delarive et Fred Valet, les architectes de Be Curious» | https://www.letemps.ch/suisse/leila-delarive-fred-valet-architectes-be-curious",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Leila+Delarive”,https://www.linkedin.com/in/leiladelarive/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-leila-delarive.html
17,Giovanna Di Marzo Serugendo,giovanna-di-marzo-serugendo,"Directrice du Centre universitaire d’informatique, Université de Genève",f-chercheurs,Chercheurs,Researchers,giovanna_di_marzo.jpg,Elie Zagury,New,52 ans,,f-plus-40,f-romand,f-femme,Recherche,Comment les start-up se basent sur les géodonnées | https://www.letemps.ch/economie/startup-se-basent-geodonnees,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Giovanna+Di+Marzo+Serugendo”,https://www.linkedin.com/in/giovanna-di-marzo-serugendo-541382/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-giovanna-di-marzo-serugendo.html
18,Daniel Diemers,daniel-diemers,"PwC Strategy&, Blockchain Leader EMEA, Zurich",f-grandes-entreprises,Grandes entreprises,Corporates,daniel_diemers.jpg,DR?,New,45 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Daniel+Diemers”,https://www.linkedin.com/in/ddiemers/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-daniel-diemers.html
19,Sabrina Cohen Dumani,sabrina-cohen-dumani,"Fondatrice et directrice générale de la Fondation Nomads, Genève",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,sabrina_cohen_dumani.jpg,DR?,New,50 ans,,f-plus-40,f-romand,f-femme,Développement durable,«L’innovation a sa plateforme dédiée» | https://www.letemps.ch/economie/linnovation-plateforme-dediee,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sabrina+Cohen+Dumani”,https://www.linkedin.com/in/sabrinacohendumani/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-sabrina-cohen-dumani.html
