cardId,Name,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter4DisplayBackup,Image,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL
51,Adrian Locher,adrian-locher,"Fondateur DeinDeal, cofondateur Merantix, Berlin et Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,adrian_locher.jpg,DR?,,36 ans,,f-moins-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Adrian+Locher”,https://de.linkedin.com/in/adrianlocher,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-adrian-locher.html
52,Ariel Lüdi,ariel-ludi,"Fondateur de Hammer Team, Cham (ZG)",f-facilitateurs,Facilitateurs,Investors,ariel_ludi.jpg,© Martin Vogel ,,59 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Comment Zoug vend sa Crypto Valley aux délégations étrangères» | https://www.letemps.ch/economie/zoug-vend-crypto-valley-aux-delegations-etrangeres,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Ariel+Lüdi”,https://ch.linkedin.com/in/arielluedi,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-ariel-ludi.html
53,Christophe Maire,christophe-maire,"Fondateur et CEO d’Atlantic Labs, Berlin",f-entrepreneurs,Entrepreneurs,Expats,christophe_maire.jpg,© A. Chudowski/WirtschaftsWoche,,52 ans,,f-plus-40,f-expat,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christophe+Maire”,https://www.linkedin.com/in/christophe-maire-9073196/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-christophe-maire.html
54,David Marcus,david-marcus,"Vice-président Blockchain, Facebook, Menlo Park (Californie)",f-grandes-entreprises,Grandes entreprises,Corporates,david_marcus.jpg,© David Paul Morris,,45 ans,,f-plus-40,f-expat,f-homme,Services informatiques,«Le Suisse David Marcus quitte la direction de Messenger» | https://www.letemps.ch/economie/suisse-david-marcus-quitte-direction-messenger,https://www.google.ch/search?q=site%3Awww.letemps.ch+“David+Marcus”,https://www.linkedin.com/in/dmarcus/fr,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-david-marcus.html
55,Marta Martinez-Camara,marta-martinez-camara,"Cofondatrice et CEO de Girlscoding.org, Lausanne",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,marta_martinez_camara.jpg,DR?,New,32 ans,,f-moins-40,f-romand,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marta+Martinez-Camara”,https://ch.linkedin.com/in/marta-martinez-camara-84284bb4,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-marta-martinez-camara.html
56,Beat Schillig,beat-schillig,"Fondateur d’IFJ, Saint-Gall",f-facilitateurs,Facilitateurs,Enabler,beat_schillig.jpg,Lumix,New,52 ans,,f-plus-40,f-alemanique,f-homme,Incubateurs,"Venture Kick a créé près de 400 start-up
",https://www.letemps.ch/economie/venture-kick-cree-pres-400-startup,https://www.linkedin.com/in/beat-schillig-venturelab,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-beat-schillig.html
57,Lorenz Meier,lorenz-meier,"Fondateur PX4, Zurich",f-leaders,Leaders,Tech Leaders,lorenz_meier.jpg,© Oliver Bartenschlager,New,34 ans,,f-moins-40,f-alemanique,f-homme,Robotique,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Lorenz+Meier”,https://ch.linkedin.com/in/meierlorenz,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-lorenz-meier.html
58,Jordi Montserrat,jordi-montserrat,"Directeur de Venturelab, Lausanne",f-facilitateurs,Facilitateurs,Enabler,jordi_montserrat.jpg,© Michael Kretz,,48 ans,,f-plus-40,f-romand,f-homme,Finance,«Venture Kick a créé près de 400 start-up» | https://www.letemps.ch/economie/venture-kick-cree-pres-400-startup,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jordi+Montserrat”,https://www.linkedin.com/in/jordimontserrat/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-jordi-montserrat.html
59,Monique Morrow,monique-morrow,"Cofondatrice et présidente de The Humanized Internet, Zurich",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,monique_morrow.jpg,DR?,New,61 ans,,f-plus-40,f-alemanique,f-femme,Blockchain?,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Monique+Morrow”,https://www.linkedin.com/in/moniquejeannemorrow/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-monique-morrow.html
60,Michael Nilles,michael-nilles,"Chief Digital Officer (CDO) de Schindler, Ebikon (LU)",f-grandes-entreprises,Grandes entreprises,Corporates,michael_nilles.jpg,DR?,New,45 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Michael+Nilles”,https://www.linkedin.com/in/michaelnilles/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-michael-nilles.html
61,David Nüscheler,david-nuscheler,"Vice-président Enterprise Technology Adobe, Salt Lake City, Utah",f-entrepreneurs,Entrepreneurs,Expats,david_nuscheler.jpg,DR?,New,43 ans,,f-plus-40,f-expat,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“David+Nüscheler”,https://www.linkedin.com/in/davidnuescheler/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-david-nuscheler.html
62,Claudia Pletscher,claudia-pletscher,"Responsable du développement et de l’innovation de La Poste Suisse, Berne",f-grandes-entreprises,Grandes entreprises,Corporates,claudia_pletscher.jpg,© Fu-Photo,New,44 ans,,f-plus-40,f-alemanique,f-femme,Négoce,«Claudia Pletscher: «La Poste ne veut pas être spectatrice de la numérisation»» | https://www.letemps.ch/economie/claudia-pletscher-poste-ne-veut-spectatrice-numerisation,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Claudia+Pletscher”,https://www.linkedin.com/in/claudia-pletscher-800a8a/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-claudia-pletscher.html
63,Georg Polzer,georg-polzer,"Cofondateur et président de Teralytics, Zurich",f-entrepreneurs,Entrepreneurs,Unicorn raisers,georg_polzer.jpg,DR?,,30 ans,,f-moins-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Georg+Polzer”,https://www.linkedin.com/in/georgpolzer/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-georg-polzer.html
64,Tobias Reichmuth,tobias-reichmuth,"CEO et fondateur de SUSI Partners SA, Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,tobias_reichmuth.jpg,DR?,New,39 ans,,f-moins-40,f-alemanique,f-homme,Développement durable,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Tobias+Reichmuth”,https://www.linkedin.com/in/tobiasreichmuth/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-tobias-reichmuth.html
65,Sylvie Reinhard,sylvie-reinhard,"VR Republik.ch, fondatrice de crstl.io, Zurich ",f-facilitateurs,Facilitateurs,Enabler,sylvie_reinhard.jpg,DR?,New,37 ans,,f-moins-40,f-alemanique,f-femme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sylvie+Reinhard”,https://www.linkedin.com/in/sylviereinhard/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-sylvie-reinhard.html
66,Max Rheiner,max-rheiner,"Fondateur et Head Master Interaction Design, Somniacs SA, Zurich",f-créatifs,Créatifs,Creatives,max_rheiner.jpg,DR?,New,46 ans,,f-plus-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Max+Rheiner”,,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-max-rheiner.html
67,Gregoire Ribordy,gregoire-ribordy,"Fondateur, CEO et vice-président d’ID Quantique, Genève",f-leaders,Leaders,Tech Leaders,gregoire_ribordy.jpg,DR?,New,47 ans,,f-plus-40,f-romand,f-homme,Services informatiques,«Le genevois ID Quantique passe sous contrôle coréen pour 65 millions» | https://www.letemps.ch/economie/genevois-id-quantique-passe-controle-coreen-65-millions,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Gregoire+Ribordy”,https://www.linkedin.com/in/grégoire-ribordy-25485810/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-gregoire-ribordy.html
68,Eva Richterich,eva-richterich,"CEO de Ricolab, Zurich",f-grandes-entreprises,Grandes entreprises,Corporates,eva_richterich.jpg,© Sandra Blaser ,New,45 ans,,f-plus-40,f-alemanique,f-femme,Développement durable,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Eva+Richterich”,https://www.linkedin.com/in/eva-richterich-5b008845/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-eva-richterich.html
69,Neil Rimer,neil-rimer,"Cofondateur d’Index Ventures, Genève, Londres et San Francisco",f-facilitateurs,Facilitateurs,Investors,neil_rimer.jpg,© Corbis via Getty Images,,54 ans,,f-plus-40,f-romand,f-homme,Finance,"«Il y a de l’innovation en Suisse, mais peu d’entrepreneurs prêts à conquérir le monde» | https://www.letemps.ch/economie/y-linnovation-suisse-dentrepreneurs-prets-conquerir-monde",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Neil+Rimer”,https://www.linkedin.com/in/neilrimer/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-neil-rimer.html
70,Pipilotti Rist,pipilotti-rist,"Artiste, Zurich",f-créatifs,Créatifs,Creatives,pipilotti_rist.jpg,DR?,,56 ans,,f-plus-40,f-alemanique,f-homme,Art,«Pipilotti Rist triomphe à Sydney» | https://www.letemps.ch/culture/pipilotti-rist-triomphe-sydney,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pipilotti+Rist”,https://www.linkedin.com/in/pipilotti-rist-b6757788/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-pipilotti-rist.html
71,Anita Roth,anita-roth,"Cheffe de la division Policy Data Science chez Airbnb, San Francisco",f-grandes-entreprises,Grandes entreprises,Expats,anita_roth.jpg,DR?,New,37 ans,,f-moins-40,f-expat,f-femme,Services informatiques,«La plupart des hôtes d’AirBnb hébergent dans leur propre maison» | https://www.letemps.ch/economie/hotes-dairbnb-hebergent-propre-maison,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Anita+Roth”,https://www.linkedin.com/in/anita-roth-3864878/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-anita-roth.html
72,Valentina Velandia,valentina-velandia,"Cofondatrice de Capacity Zurich, Zurich",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,valentina_s_velandia.jpg,DR?,New,31 ans,,f-moins-40,f-alemanique,f-femme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Valentina+Velandia”,https://ch.linkedin.com/in/valentinasvelandia,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-valentina-velandia.html
73,Marcel Salathé,marcel-salathe,"Laboratoire d’épidémiologie digitale, EPFL",f-chercheurs,Chercheurs,Researchers,marcel_salathe.jpg,DR?,New,42 ans,,f-plus-40,f-romand,f-homme,Recherche,«Marcel Salathé: «Le machine learning ne concerne pas qu'Apple ou Google»» | https://www.letemps.ch/economie/marcel-salathe-machine-learning-ne-concerne-quapple-google,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Marcel+Salathé”,https://www.linkedin.com/in/salathe/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-marcel-salathe.html
74,Toni Schneider,toni-schneider,"Partenaire de True Ventures, San Francisco",f-facilitateurs,Facilitateurs,Expats,toni_schneider.jpg,© Frederic Neema/Laif,New,48 ans,,f-plus-40,f-expat,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Toni+Schneider”,https://www.linkedin.com/in/toni-schneider-b1534333/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-toni-schneider.html
75,Philomena Schwab,philomena-schwab,"Fondatrice du Game Studio Stray Fawn, Zurich",f-entrepreneurs,Entrepreneurs,Unicorn raisers,philomena_schwab.jpg,DR?,,28 ans,,f-moins-40,f-alemanique,f-femme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Philomena+Schwab”,https://www.linkedin.com/in/philomena-schwab-56239848/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-philomena-schwab.html
76,Florian Schweitzer,florian-schweitzer,"Partenaire de Btov Partners, Saint-Gall",f-facilitateurs,Facilitateurs,Investors,florian_schweitzer.jpg,DR?,,44 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Plus de 100 millions d’euros prêts à être injectés dans des start-up» | https://www.letemps.ch/economie/plus-100-millions-deuros-prets-injectes-startup,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Florian+Schweitzer”,https://www.linkedin.com/in/florianschweitzer/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-florian-schweitzer.html
77,Dorian Selz,dorian-selz,"Fondateur de Namics, Memonic, Squirro",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,dorian_selz.jpg,© Samuel Trümpy,,47 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Dorian+Selz”,https://www.linkedin.com/in/dselz/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-dorian-selz.html
78,Michael Sidler,michael-sidler,"Cofondateur associé de Redalpine, Zurich",f-facilitateurs,Facilitateurs,Investors,michael_sidler.jpg,© Alex Buschor,,50 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Michael+Sidler”,https://www.linkedin.com/in/sidler/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-michael-sidler.html
79,Roland Siegwart,roland-siegwart,"Laboratoire de systèmes autonomes, EPF Zurich",f-chercheurs,Chercheurs,Researchers,roland_siegwart.jpg,© Oliver Nanzig,,59 ans,,f-plus-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Roland+Siegwart”,https://www.linkedin.com/in/roland-siegwart-85466912/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-roland-siegwart.html
80,Christian Simm,christian-simm,Fondateur de Swissnex San Francisco et CEO de Swissnex Boston,f-facilitateurs,Facilitateurs,Expats,christian_simm.jpg,DR?,New,59 ans,,f-plus-40,f-expat,f-homme,Recherche,«Swissnex change tous ses directeurs» | https://www.letemps.ch/economie/swissnex-change-directeurs,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Simm”,https://www.linkedin.com/in/christiansimm/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-christian-simm.html
81,Philipp Stauffer,philipp-stauffer,"Cofondateur et directeur associé de Fyrfly Venture Partners, Silicon Valley",f-facilitateurs,Facilitateurs,Investors,philippe_stauffer.jpg,© Anja Wurm,New,47 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Philipp+Stauffer”,https://www.linkedin.com/in/philippstauffer/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-philipp-stauffer.html
82,Amir Suissa,amir-suissa,"Fondateur de Wefox, Zurich",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,amir_suissa.jpg,DR?,,46 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Amir+Suissa”,https://www.linkedin.com/in/amirsuissa/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-amir-suissa.html
83,Tej Tadi,tej-tadi,"Fondateur et CEO de MindMaze, Lausanne",f-entrepreneurs,Entrepreneurs,Unicorn raisers,tej_tadi.jpg,DR?,,37 ans,,f-moins-40,f-romand,f-homme,Santé,«Mindmaze ne va pas quitter la Suisse» | https://www.letemps.ch/economie/mindmaze-ne-va-quitter-suisse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Tej+Tadi”,https://www.linkedin.com/in/tejtadi/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-tej-tadi.html
84,Estefania Tapias,estefania-tapias,"Chair of Information Architecture, EPF Zurich",f-chercheurs,Chercheurs,Researchers,estefania_tapias.jpg,DR?,New,30 ans,,f-moins-40,f-alemanique,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Estefania+Tapias”,https://www.linkedin.com/in/estefaniatapias/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-estefania-tapias.html
85,Dominik Tarolli,dominik-tarolli,"Fondateur Procedural, directeur Esri, Redlands (Californie)",f-leaders,Leaders,Tech Leaders,dominik_tarolli.jpg,DR?,New,44 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Dominik+Tarolli”,https://www.linkedin.com/in/dominiktarolli/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-dominik-tarolli.html
86,Patrick Thévoz,patrick-thevoz,"Cofondateur et CEO de Flyability, Lausanne",f-entrepreneurs,Entrepreneurs,Unicorn raisers,patrick_thevoz.jpg,© Tina Sturzenegger,New,32 ans,,f-moins-40,f-romand,f-homme,Electronique,«La «Drone Valley» suisse s’étend sans cesse» | https://www.letemps.ch/economie/drone-valley-suisse-setend-cesse,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Patrick+Thévoz”,https://www.linkedin.com/in/pthevoz/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-patrick-thevoz.html
87,Yann Tissot,yann-tissot,"Cofondateur et CEO L.E.S.S., Renens",f-entrepreneurs,Entrepreneurs,Unicorn raisers,yann_tissot.jpg,DR?,New,39 ans,,f-moins-40,f-romand,f-homme,Marketing?,«L.E.S.S. veut créer une usine et des centaines d’emplois» | https://www.letemps.ch/economie/less-veut-creer-une-usine-centaines-demplois,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Yann+Tissot”,https://www.linkedin.com/in/yann-tissot-8846251/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-yann-tissot.html
88,Sandra Tobler,sandra-tobler,"Cofondatrice et CEO de Futurae Technologies, Zurich",f-leaders,Leaders,Tech Leaders,sandra_tobler.jpg,© David Wagnières/Le Temps,New,39 ans,,f-moins-40,f-alemanique,f-femme,Services informatiques,«Femmes de technologie et fières de l'être» | https://www.letemps.ch/economie/femmes-technologie-fieres-letre,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Sandra+Tobler”,https://www.linkedin.com/in/toblersa/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-sandra-tobler.html
89,Grace Torrellas,grace-torrellas,"Evangéliste de la blockchain, Lausanne",f-bienfaiteurs,Bienfaiteurs,Do-Gooders,grace_torrellas.jpg,DR?,New,49 ans,,f-plus-40,f-romand,f-femme,Blockchain,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Grace+Torrellas”,https://www.linkedin.com/in/gtorrellas/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-grace-torrellas.html
90,Luc Van Gool,luc-van-gool,"Computer Vision Lab, EPF Zurich",f-chercheurs,Chercheurs,Researchers,luc_van_gool.jpg,DR?,,58 ans,,f-plus-40,f-alemanique,f-homme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Luc+Van+Gool”,https://www.linkedin.com/in/luc-van-gool-1b4a689/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-luc-van-gool.html
91,Pascale Vonmont,pascale-vonmont,"CEO Fondation Gebert Rüf, Bâle",f-facilitateurs,Facilitateurs,Enabler,pascale_vonmont.jpg,© Salvatore Vinci,,51 ans,,f-plus-40,f-alemanique,f-femme,Recherche,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Pascale+Vonmont”,https://www.linkedin.com/in/pascalevonmont/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-pascale-vonmont.html
92,Jean-Pierre Vuilleumier,jean-pierre-vuilleumier,"Directeur général de la start-up Invest, Berne",f-facilitateurs,Facilitateurs,Enabler,jean_pierre_vuilleumier.jpg,DR?,,59 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jean-Pierre+Vuilleumier”,https://www.linkedin.com/in/jvuilleumier/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-jean-pierre-vuilleumier.html
93,Steffen Wagner,steffen-wagner,"Cofondateur et co-PDG d’Investiere, Verve Capital Partners, Baar (ZG)",f-facilitateurs,Facilitateurs,Investors,steffen_wagner.jpg,DR?,New,44 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Nest investira une part de son capital dans des start-up» | https://www.letemps.ch/economie/nest-investira-une-part-capital-startup,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Steffen+Wagner”,https://www.linkedin.com/in/steffen-wagner-3229b920/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-steffen-wagner.html
94,Cédric Waldburger,cedric-waldburger,"Cofondateur de Tenderloin Ventures, Zoug",f-entrepreneurs,Entrepreneurs,Serial Entrepreneurs,cedric_waldburger.jpg,© Désirée Good|Le Temps,New,30 ans,,f-moins-40,f-alemanique,f-homme,Blockchain,"«Entrepreneur sans domicile fixe, avec seulement 64 objets personnels» | https://www.google.ch/search?q=site%3Awww.letemps.ch+%E2%80%9CC%C3%A9dric+Waldburger%E2%80%9D",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Cédric+Waldburger”,https://www.linkedin.com/in/cedricwaldburger/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-cedric-waldburger.html
95,Patrick Warnking,patrick-warnking,"Directeur de Google Suisse, Zurich",f-grandes-entreprises,Grandes entreprises,Corporates,patrick_warnking.jpg,© Karl-Heinz Hug,,50 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Patrick+Warnking”,https://www.linkedin.com/in/warnking/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-patrick-warnking.html
96,Basil Weibel,basil-weibel,"Cofondateur et CEO Wingtra, Zurich",f-entrepreneurs,Entrepreneurs,Unicorn raisers,basil_weibel.jpg,© Michèle Limina,New,30 ans,,f-moins-40,f-alemanique,f-homme,Electronique,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Basil+Weibel”,https://www.linkedin.com/in/basil-weibel-a3146a1b/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-basil-weibel.html
97,Christian Wenger,christian-wenger,"Touche-à-tout, Zurich",f-facilitateurs,Facilitateurs,Enabler,christian_wenger.jpg,DR?,,54 ans,,f-plus-40,f-alemanique,f-homme,????,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Wenger”,https://www.linkedin.com/in/christian-wenger-07260bbb/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-christian-wenger.html
98,Roland Zeller,roland-zeller,"Directeur et propriétaire d’Innuvik Ventures, Bottighofen (TG)",f-facilitateurs,Facilitateurs,Investors,roland_zeller.jpg,DR?,New,48 ans,,f-plus-40,f-alemanique,f-homme,Finance,n/a,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Roland+Zeller”,https://www.linkedin.com/in/rolizeller/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-roland-zeller.html
99,Claude Zellweger,claude-zellweger,"Directeur du design Daydream chez Google, Mountain View (Californie)",f-grandes-entreprises,Grandes entreprises,Expats,claude_zellweger.jpg,© Tanja Demarmels,,46 ans,,f-plus-40,"f-expat
",f-homme,Services informatiques,«Sur ce marché il y a de la place pour tout le monde»|https://www.letemps.ch/economie/marche-y-place-monde,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Claude+Zellweger”,https://www.linkedin.com/in/claude-zellweger-a519001/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-claude-zellweger.html
100,Lea von Bidder,lea-von-bidder,"Cofondatrice d’Ava, San Francisco",f-entrepreneurs,Entrepreneurs,Expats,lea_von_bidder.jpg,© René Ruis,New,28 ans,,f-moins-40,"f-expat
",f-femme,Santé,"Lea von Bidder, les start-up dans la peau|https://www.letemps.ch/economie/lea-von-bidder-startup-peau",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Lea+von+Bidder”,https://www.linkedin.com/in/lea-von-bidder/,https://labs.letemps.ch/interactive/2018/digital-shapers/portrait-lea-von-bidder.html
200,Editorial,editorial,Digital first,,,,,,,,no-card,,,,,,,,
300,Publireportage,publireportage,Un regard sur l’avenir,,,,,,,,no-card,,,,,,,,
