,cardId,parameter,cardSubtitle,cardFilter4Tri,cardFilter4Display,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,isNew,cardTitre,cardImage,copyright,cardSection1Text,cardSection2Text,cardInfo1,cardInfo2,cardSection4Text,cardFilter4DisplaySingular,cardFilter1Display,cardFilter2Display,cardFilter3Display,cardFilter5Tri,cardFilter6Display,cardFilter6Tri,cardSection1Title,cardSection3Title,cardSection3Text,cardSection4Title,cardSection5Title,cardSection6Title,cardSection7Title,cardSection7Text,cardTeaserImage
0,1,marco-abele,"Fondateur et CEO de Tend, Zoug",f-leaders,Leaders,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.linkedin.com/in/marcoabele,is-new,Marco Abele,img/2018/marco_abele.jpg,DR,"De responsable numérique au Crédit suisse à entrepreneur de start-up: en octobre 2017, Marco Abele a troqué son costume sur mesure contre un jean et un t-shirt, et fondé la société Tend. La plateforme d’échange offre des expériences d’un type particulier: les clients peuvent, par exemple, réserver un voyage dans une Porsche 356A Speedster de 1955 ou faire une excursion privée dans une cave à vin en recevant 18 bouteilles de grands crus par an. Tend s’occupe de l’ensemble du «pack zéro souci», moyennant un supplément bien sûr. Les clients peuvent payer ces expériences de luxe avec ce qu’on appelle des jetons, des avoirs numériques protégés par une blockchain.
«Avec Tend, je veux atteindre un large public qui enrichit sa vie et vit ses rêves», explique l’Allemand de 49 ans. C’est le même désir qui l’a aidé à passer du monde de l'entreprise à celui de la start-up. Les produits Tend ont été lancés cette année en Suisse. Pour 2019, Abele veut se développer au-delà des frontières helvétiques: «Dans quatre à cinq ans, je veux être présent dans les métropoles des marchés émergents.»",,"Fondateur et CEO de Tend, Zoug",49 ans,,leaders,,,,,,,,,,,,,,,img/2018/teaser/marco_abele.jpg
1,2,pedro-bados,"CEO et cofondateur de Nexthink, Lausanne",f-entrepreneurs,Entrepreneurs,,f-moins-40,f-romand,f-homme,Services informatiques,https://www.letemps.ch/economie/societe-lausannoise-nexthink-leve-40-millions-dollars,https://ch.linkedin.com/in/pbados,is-new,Pedro Bados,img/2018/pedro_bados.jpg,Eddy Mottaz,"«2017 a été une année incroyable. Nous avons gagné plus de 200 nouveaux clients», explique Pedro Bados. Aujourd’hui, plus de 850 clients utilisent les produits de l’entreprise lausannoise de logiciels, dont des gouvernements, des banques nationales et des entreprises comme Migros, Deloitte ou Amag. Nexthink examine attentivement les programmes de calculs de l’entreprise et analyse la qualité des services informatiques utilisés du point de vue de l’employé. L’idée de Nexthink est venue à Pedro Bados en 2004, avec ses camarades Vincent Bieri et Patrick Hertzog, lors d’un projet de recherche sur l’intelligence artificielle à l’EPFL. «Le département informatique fournit ses services à l’utilisateur final, sans disposer ni de la transparence nécessaire ni des bonnes informations pour déterminer si l’utilisateur utilise ces services et s’il en a besoin», explique Pedro Bados. Le Suisse a étudié l’électrotechnique et l’informatique à l’Université de Saragosse, en Espagne.",,"CEO et cofondateur de Nexthink, Lausanne",38 ans,Comment la société lausannoise Nexthink a levé 40 millions de dollars,entrepreneurs,,,,,,,,,,,,,,,img/2018/teaser/pedro_bados.jpg
2,3,nick-beglinger,"Cofondateur et CEO de Cleantech21, Zurich",f-bienfaiteurs,Bienfaiteurs,,f-plus-40,f-alemanique,f-homme,Développement durable,,https://ch.linkedin.com/in/nick-beglinger-84a23b,is-new,Nick Beglinger,img/2018/nick_beglinger.jpg,Lukas Lehmann|Keystone,"Jusqu’en 2016, Nick Beglinger a été président de l’association professionnelle Swisscleantech, consacrée à l’économie durable et issue en 2009 de la fondation à but non lucratif Cleantech21. Nick Beglinger, aujourd’hui âgé de 48 ans, consacre désormais la majeure partie de son temps à la fondation. «La durabilité doit devenir la norme», selon son site web. Nick Beglinger veut construire un réseau d’entreprises actives au niveau mondial, pour mettre en œuvre à long terme les objectifs de l’Accord de Paris sur le climat. Il faut inciter le politique à mettre en place les conditions-cadres d’une économie durable, par le biais d’initiatives et de projets.
L'instauration d'un prix du CO2, un montant à payer pour les émissions de dioxyde de carbone, lui tient particulièrement à cœur, lui qui donne des conférences et écrit des articles à ce sujet. Avant de passer à l’économie verte, l’entrepreneur était consultant chez McKinsey et au Boston Consulting Group. Il est titulaire d’une maîtrise de la London School of Economics et aime jouer au piano ou au football avec ses amis pendant son temps libre.",,"Cofondateur et CEO de Cleantech21, Zurich",48 ans,,bienfaiteurs,,,,,,,,,,,,,,,img/2018/teaser/nick_beglinger.jpg
3,4,marc-bernegger,"Entrepreneur en fintech et investisseur, Zurich",f-entrepreneurs,Entrepreneurs,,f-moins-40,f-alemanique,f-homme,Finance,https://www.letemps.ch/economie/apple-pourrait-ainsi-devenir-un-acteur-majeur-suisse,https://ch.linkedin.com/in/marcpbernegger,not-new,Marc Bernegger,img/2018/marc_p_bernegger.jpg,Beechpasty,"Spécialiste des fintech, Marc Bernegger se concentre actuellement sur les monnaies électroniques. Il constate, comme instigateur de la conférence Krypto Finance à Saint-Moritz ou en tant qu’actionnaire et membre du conseil d’administration du groupe Krypto Finance fort de 40 employés à Zurich, que «la demande pour entrer dans ce monde est forte, même de la part d’investisseurs conservateurs». Marc Bernegger est également le fondateur de Next Generation Finance Invest. Mais la récente entrée en bourse de la filiale zougoise Ayondo à Singapour a été un échec, l’action étant cotée bien en dessous du prix d’émission: «Il y avait probablement trop de rêves futuristes», dit-il en faisant son autocritique.
Marc Bernegger fait partie du conseil d’administration de la banque Falcon, où il est responsable du dossier de la numérisation. Après le scandale autour du fonds d’Etat malais 1MDB, la banque est en restructuration: «Assurer la survie d’une entreprise peut être une expérience passionnante», affirme-t-il. Marc Bernegger a posé la pierre fondatrice de son entreprise dans les années 1990, avec Usgang.ch (vendu à Axel Springer) et la plateforme de billetterie Amiando (vendue à Xing).",,"Entrepreneur en fintech et investisseur, Zurich",39 ans,«Apple pourrait ainsi devenir un acteur majeur en Suisse»,entrepreneurs,,,,,,,,,,,,,,,img/2018/teaser/marc_p_bernegger.jpg
4,5,sonja-betschart,"Cofondatrice de WeRobotics, Genève",f-bienfaiteurs,Bienfaiteurs,,f-plus-40,f-romand,f-femme,Recherche,https://www.letemps.ch/economie/lamericain-werobotics-sinstalle-geneve,https://ch.linkedin.com/in/sonjabetschart,is-new,Sonja Betschart,img/2018/sonja_betschart.jpg,David Wagnières,"Passion, inspiration, innovation, ce sont les outils avec lesquels la cofondatrice de WeRobotics, Sonja Betschart, pense l’avenir. Pour la spécialiste du marketing et de la gestion, les robots ont leur place dans la société. «Je suis convaincue que les technologies de la quatrième révolution industrielle comme les drones et l’intelligence artificielle devraient être rendues accessibles aux personnes les plus faibles de la société», dit la directrice high-tech.</p><p>Sonja Betschart est une entrepreneuse avec un cœur et les nouvelles technologies à son service. Sa carrière l’a fait passer de postes dans diverses PME et grandes entreprises à des start-up des domaines de la transformation numérique et de l’industrie des drones. Pour l’ancienne développeuse numérique de Swisscom, les aides électroniques ne sont pas une menace, mais une aide. <a class=""readMore"" href=""#more"">Plus…</a>","Depuis deux ans et demi, Sonja Betschart travaille avec la société américano-suisse WeRobotics à la démocratisation des solutions high-tech, en particulier dans les économies émergentes d’Afrique et d’Amérique du Sud, en passant par l’Asie et le Pacifique. Et ceci, à l’aide de grands acteurs, comme le fabricant de drones chinois DJI et le français Parrot, le développeur de systèmes d’information géographique Esri, et des mécènes comme la Fondation Rockefeller et les fondations de géants informatiques et logiciels tels HP et Autodesk.
Pour elle, l’utilisation de drones et de l’intelligence artificielle pour l’aide humanitaire ou la protection de la nature est devenue une tâche mondiale, et a cessé depuis longtemps d’être un sujet de bricoleur local. Au contraire: avec WeRobotics, Sonja Betschart espère combler le fossé numérique et réunir la branche, les ONG et les gouvernements des pays en développement. «Nous développons des solutions pour l’aide au développement, ainsi que pour les secteurs de la santé et de l’environnement.»
Elle a travaillé pour de petits agriculteurs en Tanzanie, comme incubatrice pour des compagnies de drones au Népal et anime des ateliers en coopération avec des gouvernements. Sonja Betschart veut «utiliser les technologies numériques de manière durable et sensée, et aider à démocratiser la participation du Sud à la quatrième révolution industrielle».","Cofondatrice de WeRobotics, Genève",48 ans,L’Américain WeRobotics s’installe à Genève,bienfaiteurs,,,,,,,,,,,,,,,img/2018/teaser/sonja_betschart.jpg
5,6,lucas-betschart,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",f-facilitateurs,Facilitateurs,,f-moins-40,f-alemanique,f-homme,Finance,,https://ch.linkedin.com/in/lucasbetschart,is-new,Lucas Betschart,img/2018/lucas_betschart.jpg,Keystone Images,"Entre économistes, la blockchain et les monnaies cryptographiques figurent parmi les sujets les plus controversés. Le bitcoin, la monnaie numérique la plus connue, est un peu discrédité par la violente turbulence des prix. Lucas Betschart a une position difficile dans ce champ de tensions. L’informaticien de formation se bat depuis des années en première ligne pour que le public soit mieux informé sur les monnaies cryptographiques et les blockchains. Il s’est fait un nom comme président de la Bitcoin Association Switzerland, fondée en 2013; l’association promeut les monnaies numériques et se considère comme l’interlocutrice de l’Autorité fédérale de surveillance des marchés financiers (Finma). Il est également directeur exécutif de la fondation à but non lucratif Feathercoin Development Foundation, conférencier invité et fondateur de l’entreprise.
Comme pionnier du bitcoin, Lucas Betschart a un solide savoir-faire en matière de systèmes décentralisés et de cryptographie. Il est convaincu que la plupart des monnaies numériques disparaîtront. Mais il croit fermement au bitcoin: «C’est de loin la plus stable, la plus ancienne, la plus répandue et la plus sûre de toutes les monnaies cryptographiques.»",,"Président de la Bitcoin Association Switzerland, Zurich/Zoug",26 ans,,facilitateurs,,,,,,,,,,,,,,,img/2018/teaser/lucas_betschart.jpg
6,7,jurgi-camblong,"Cofondateur et CEO de Sophia Genetics, Genève",f-entrepreneurs,Entrepreneurs,,f-plus-40,f-romand,f-homme,Recherche, https://www.letemps.ch/economie/fondateur-sophia-genetics-nomme-entrepreneur-lannee,https://www.linkedin.com/in/jurgicamblong/,not-new,Jurgi Camblong,img/2018/jurgi_camblong.jpg,Tina Sturzenegger,"Jurgi Camblong parle d’une «révolution» de la médecine basée sur les données, en citant son entreprise: Sophia Genetics développe des logiciels et des plateformes de données qui utilisent l’analyse du génome pour diagnostiquer des maladies comme le cancer. En ce moment, l’entreprise recueille des données auprès de 415 hôpitaux dans 58 pays. «Plus les hôpitaux utilisent notre plateforme d’analyse et plus nous avons de profils génomiques analysés, plus notre intelligence artificielle croît», selon le biochimiste qui a étudié à Lausanne, à Genève et à Oxford. Avec une croissance de 400% par an, la start-up est considérée comme l’une des prochaines licornes suisses.",,"Cofondateur et CEO de Sophia Genetics, Genève",40 ans,«Le fondateur de Sophia Genetics nommé entrepreneur de l'année» ,entrepreneurs,,,,,,,,,,,,,,,img/2018/teaser/jurgi_camblong.jpg
7,8,nicoletta-casanova,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",f-leaders,Leaders,,f-plus-40,f-italienne,f-femme,Recherche,,https://www.linkedin.com/in/nicoletta-casanova-61b249/,is-new,Nicoletta Casanova,img/2018/nicoletta_casanova.jpg,Claudio Bader,"Son premier emploi, elle l'a trouvé dans une start-up qui testait des matériaux. Ensuite, Nicoletta Casanova a préféré fonder sa propre entreprise. Deux ans après son diplôme de l’EPFZ est née Smartec, pionnière en matière de surveillance des ponts, barrages et structures d’immeubles à l’aide de senseurs. Sa nouvelle entreprise se nomme FEMTOprint. Elle hisse l’impression 3D à un niveau inédit. La technologie est, dit-on, plus rapide, plus précise et plus avantageuse. Elle ne concerne que des matériaux transparents tels que le verre. La forme désirée est taillée dans la masse brute à l’aide d’un laser qui travaille dans une longueur d’onde de 600 nanomètres. «La technologie nous permet de transformer un morceau de verre directement en produit fini», assure Nicoletta Casanova. Imaginons par exemple un mouvement d’horlogerie précis et entièrement terminé qui naîtrait d’un seul bloc. Une fois que le laser a découpé la forme souhaitée, la masse résiduelle est enlevée à l’aide d’un acide.
FEMTOprint est un spin-off d’un projet du même nom de l’Union européenne, auquel travaillent, outre la Suisse, des équipes venues de France, d’Allemagne, de Grande-Bretagne et des Pays-Bas, et dont le financement s'élève à 3,4 millions d’euros. Après sa fondation en 2013, l’idée était de fabriquer des machines et de les vendre. Mais après quelque temps, les clients préférèrent recevoir leurs pièces toutes prêtes, fabriquées par FEMTOprint. A l’aide de sa technologie, Nicoletta Casanova couvre un large éventail: la manufacture de montres Ulysse Nardin fait partie de ses clients alors que Medtronic et Oticon représentent les medtechs. Les télécoms, les sciences naturelles, l’optique et l’industrie automobile recourent aussi à sa technologie.
Nicoletta Casanova dit être animée par sa passion pour l’innovation. A 8 ans, elle donnait un coup de main dans l’hôtel de ses parents: «La vie m’a beaucoup enseigné. J’ai appris tant de choses en pratiquant le learning by doing.» FEMTOprint devrait continuer de croître. En attendant, sa patronne a aussi des projets privés: rénover une vieille grange dans les Alpes, faire du snowboard, du parapente et se remettre intensivement à la plongée.",,"Cofondatrice et CEO FEMTOprint, Muzzano (TI)",47 ans,,leaders,,,,,,,,,,,,,,,img/2018/teaser/nicoletta_casanova.jpg
8,9,filippo-catalano,"CIO du groupe Nestlé, Vevey",f-grandes-entreprises,Grandes entreprises,,f-plus-40,f-romand,f-homme,Agroalimentaire,,https://www.linkedin.com/in/filippocatalano/,is-new,Filippo Catalano,img/2018/filippo_catalano.jpg,François Wavre|Lundi 13,"Sa description du poste laisse songeur: il doit numériser l’entreprise suisse la plus valorisée. Chief information officer chez Nestlé depuis janvier, Filippo Catalano a une tâche colossale. Directeur technique et numérique d’une entreprise active dans 189 pays, il doit avoir une vision claire de ce que sera Nestlé demain. «Nous devons importer et faire fonctionner certaines de nos technologies clés sur de nouvelles plateformes», dit Filippo Catalano pour décrire ses premiers projets. Il doit également introduire des projets d’automatisation. «Tous les membres de l’organisation, et à tous les niveaux, doivent sans cesse apprendre pour que nous restions à l’avant-garde.»</p><p>Filippo Catalano a eu trois ans pour connaître l’entreprise et ses besoins en détail. Engagé en mars 2015 comme Chief digital operations officer, il était responsable des plateformes numériques de l’entreprise, du web, des médias sociaux, des applications et de l’analyse de la clientèle. Son projet phare a été la construction du Nestlé Global Digital Hub à Barcelone. Auparavant, Filippo Catalano a travaillé pendant quinze ans pour Procter & Gamble, un groupe de biens de consommation. <a class=""readMore"" href=""#more"">Plus…</a>","Le départ à la retraite de Terence Stacey, son prédécesseur comme CIO de Nestlé, permet désormais à Filippo Catalano de diffuser ses idées et visions dans toute l’organisation. Il rêve que Nestlé puisse mieux connaître ses clients grâce aux wearables (montres et autres objets connectés). Par exemple, un robot pourrait conseiller un client «pour l’aider à améliorer son alimentation et mieux comprendre son propre corps et sa santé». L’internet des objets (IDO) est également en haut de la liste de ses priorités. «L’IDO devient une plateforme pour les entreprises vendant des produits et des machines qui se connectent.» L’activité café du groupe se prête particulièrement bien à ces applications. «Certains projets pionniers sont déjà en cours dans ce domaine, mais il reste encore beaucoup à faire», déclare le numériseur de Nestlé.
Outre ces sujets technologiques d’avant-garde, Filippo Catalano a aussi une passion pour les techniques plus terre à terre et les sports d’hiver: il collectionne des motos vintage de la marque Honda et veut «avaler davantage de kilomètres dans les stations de ski suisses l’hiver prochain».","CIO du groupe Nestlé, Vevey",46 ans,,grandes entreprises,,,,,,,,,,,,,,,img/2018/teaser/filippo_catalano.jpg
9,10,caecilia-charbonnier,"Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive, Culver City (Californie)",f-créatifs,Créatifs,,f-moins-40,f-romand,f-femme,Recherche, https://www.letemps.ch/sciences/soigner-phobies-grace-realite-virtuelle,https://www.linkedin.com/in/caecilia-charbonnier-b218485/,is-new,Caecilia Charbonnier,img/2018/caecilia_charbonnier.jpg,Olivier Vogelsang,"A la fin des années 1990, Caecilia Charbonnier passait pour l’espoir de la relève du tennis féminin suisse. Mais une blessure sportive a mis un frein à sa carrière. Malgré une opération, elle a gardé des douleurs chroniques à l’épaule. A 18 ans, la Genevoise s’est donc retirée du sport de compétition. Mais depuis 2011, Caecilia Charbonnier est tout de même leader mondial, dans le domaine de la réalité virtuelle (VR). Avec sa société Artanim et la start-up Dreamscape Immersive fondée en 2016, elle développe une technologie qui révolutionne le monde du cinéma: le spectateur peut faire partie de l’aventure blockbuster. La technologie VR permet à plusieurs personnes de se déplacer, et même d’interagir simultanément, dans un espace virtuel.</p><p>Les investisseurs sont les studios américains Fox, MGM, Warner Bros, le réalisateur vedette Steven Spielberg, ou la plus grande chaîne de cinéma du monde, AMC Entertainment, qui a investi 41 millions de dollars. En Suisse, il y a trop peu d’investisseurs privés finançant la technologie VR. Quant au financement de la Confédération, il est pratiquement inexistant. <a class=""readMore"" href=""#more"">Plus…</a>","La technologie de Caecilia Charbonnier s’applique également à d’autres domaines que le cinéma: l’orthopédie et la médecine sportive. L’informaticienne doctorante s’occupe principalement de la création de simulations 3D en temps réel. Lorsque le patient a par exemple besoin d’une nouvelle hanche, le corps peut être modélisé de façon réaliste. Les séquences de mouvements peuvent ainsi être analysées et l’articulation idéale développée. Dans ce domaine de la biomécanique, Caecilia Charbonnier voit un potentiel de croissance: «Nous voulons personnaliser la médecine du futur», dit-elle. Marquée par sa propre expérience d'une blessure à l’épaule, le passage à la médecine lui a semblé naturel, ses deux parents et son frère étant actifs dans le domaine médical.
En coopération avec divers instituts, la femme de 37 ans mène aussi diverses recherches avec Artanim sur la question de l’instabilité de l’épaule. En plus de ses activités entrepreneuriales, elle est chargée de cours à l’Université de Genève au Département de médecine. Dans le privé, elle adore la plongée.","Cofondatrice, présidente et directrice de recherche chez Artanim, Meyrin (GE) et cofondatrice et directrice technique de Dreamscape Immersive, Culver City (Californie)",37 ans,«Soigner les phobies grâce à la réalité virtuelle» ,créatifs,,,,,,,,,,,,,,,img/2018/teaser/caecilia_charbonnier.jpg
10,11,alain-chuard,"Fondateur Swisspreneur.org, Palo Alto (Californie)",f-entrepreneurs,Entrepreneurs,,f-plus-40,f-f-expat,f-homme,Services informatiques, https://www.letemps.ch/economie/un-millionnaire-silicon-valley-doper-lentrepreneuriat-suisse,https://www.linkedin.com/in/alainchuard/,not-new,Alain Chuard,img/2018/alain_chuard.jpg,Robert Houser,"Depuis qu’il a quitté Google, Alain Chuard soutient le paysage helvétique des start-up. Il sait comment faire pour que ça marche: après tout, en 2012, il a réussi à vendre son entreprise Wildfire pour pas moins de 450 millions de dollars. Il note toutefois un besoin de rattrapage chez pas mal d’entreprises suisses: «Je constate qu’une formidable technologie naît en Suisse. Mais parfois il faut un produit plus mature et une stratégie de marketing. C’est sur ces points que je peux donner un coup de main.» Il aide bel et bien les jeunes pousses suisses grâce à ses contacts dans la Silicon Valley. A cette fin, il a mis sur pied avec Christian Hirsig Swisspreneur.org. Mais ses activités ne s'arrêtent pas là. En ce moment, il vérifie la faisabilité de projets entrepreneuriaux dans les fintechs et la santé numérique. A suivre.",,"Fondateur Swisspreneur.org, Palo Alto (Californie)",45 ans,«Un millionnaire de la Silicon Valley pour doper l’entrepreneuriat en Suisse» ,entrepreneurs,,,,,,,,,,,,,,,img/2018/teaser/alain_chuard.jpg
11,12,kate-darling,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston",f-chercheurs,Chercheurs,,f-moins-40,f-f-expat,f-femme,Recherche, https://www.letemps.ch/sciences/faut-donner-droits-aux-robots-propre-bien,,is-new,Kate Darling,img/2018/kate_darling.jpg,DR,"Elle se qualifie de «maîtresse des machines», a un tatouage sur le bras et donne des conférences avec un profond décolleté et des pantalons moulants en similicuir. Lorsque Kate Darling évoque des sujets juridiques, il lui arrive de lâcher un «merde». Sa spécialité, c’est l’interaction entre l’homme et le robot. Née aux Etats-Unis, elle a grandi à Bâle, où elle a étudié le droit, avant d’obtenir un doctorat à l’EPFZ dans le domaine de la propriété intellectuelle.
C’est parce qu’elle s’est fait connaître comme adepte des robots sur Twitter (15 000 fans actuellement) que le célèbre MIT l’a découverte en 2011. Elle y fait désormais des recherches sur toutes sortes de questions que se posent les experts en robotique: faut-il donner des droits et devoirs aux robots? Jusqu’où leur humanité doit-elle aller? Les relations sexuelles avec des robots influencent-elles la façon dont les humains copulent entre eux? Peut-on traiter les pédophiles avec des robots sexuels enfants?
Dans ses conférences, elle aime raconter comment, à des fins de test, elle a fait jouer un groupe de personnes avec des robots dinosaures Pleo, avant de les inviter à torturer et détruire les petits robots. Personne n’avait le cœur à ça bien sûr.",,"Ethicienne en robotique, Massachusetts Institute of Technology MIT, Boston",36 ans,"«Il faut donner des droits aux robots, pour notre propre bien» ",chercheurs,,,,,,,,,,,,,,,img/2018/teaser/kate_darling.jpg
12,13,christian-decker,"Ingénieur logiciel et chercheur chez Blockstream, Zurich",f-leaders,Leaders,,f-moins-40,f-alemanique,f-homme,Services informatiques,,https://www.linkedin.com/in/christiandecker/,is-new,Christian Decker,img/2018/christian_decker.jpg,Joseph Khakshouri,"C’est un enthousiaste de la première heure: Christian Decker s’intéresse activement à la monnaie électronique depuis ses balbutiements. «A l’époque, ceux qui croyaient que le bitcoin engendrerait ce gigantesque engouement étaient très rares», souligne-t-il. Lorsque, en 2010, 1 dollar valait à peu près 1 bitcoin, Christian Decker avait du mal à y croire. Aujourd’hui, le jeune homme de 33 ans travaille comme ingénieur logiciel au sein de la start-up Blockstream, créée en 2014. Connaissant les fondateurs Adam Back, Pieter Wuille et Gregory Maxwell, faire partie de l’équipe était une étape logique pour lui. «Je viens de transformer mon hobby en profession», dit-il.
Blockstream s’est fixé pour tâche de développer davantage les blockchains par l’intermédiaire de ce qu’on appelle les «sidechains». Ces dernières sont liées à la blockchain du bitcoin, et complètent ses fonctionnalités avec d’autres solutions, comme le transfert sécurisé et anonyme de monnaie électronique. La start-up permet également aux entreprises d’accéder à des bourses d’échange. «Nous considérons le bitcoin comme la monnaie électronique la plus sûre», explique Christian Decker. L’objectif à long terme est de l’isoler des fluctuations du marché. Les employés de Blockstream travaillent sur leur propre solution technique. «Nous travaillons sans relâche en refusant de courir après les tendances.»
Depuis sa création, Blockstream a connu une croissance rapide et emploie aujourd’hui près de 60 personnes en Suisse, en Australie, au Japon, en Nouvelle-Zélande et au siège aux Etats-Unis. La première injection financière de 21 millions de dollars a été rapidement complétée par 57 millions de dollars supplémentaires. «Cela nous permet de continuer à faire de la recherche fondamentale», affirme Christian Decker. La start-up technologique propose aussi un flux de données, issu des bourses d’échange: il agrège les événements survenus sur les bourses et fournit aux investisseurs une vision consolidée du marché de la cryptographie. Intercontinental Exchange (ICE), la société mère de la bourse de New York, figure parmi ses clients.",,"Ingénieur logiciel et chercheur chez Blockstream, Zurich",33 ans,,leaders,,,,,,,,,,,,,,,img/2018/teaser/christian_decker.jpg
13,14,marc-degen,"Cofondateur de Modum.io et de Moflix, Zurich",f-entrepreneurs,Entrepreneurs,,f-plus-40,f-alemanique,f-homme,Finance,,https://www.linkedin.com/in/marcdegen/,is-new,Marc Degen,img/2018/marc_degen.jpg,DR,"La start-up Modum.io a développé un système qui optimise le transport de médicaments. Des capteurs lui permettent de surveiller les influences extérieures sur un colis pendant son expédition. A l’arrivée, les valeurs enregistrées sont automatiquement évaluées et stockées dans une blockchain, de sorte que les résultats ne peuvent plus être manipulés. Depuis 2016, Modum.io est l’un des nouveaux projets de Marc Degen. A 41, il est cofondateur de plusieurs projets. Fondateur et président de DLT Invest, une société de conseil permettant aux clients institutionnels d’investir dans des sociétés de technologie de la blockchain. Il a également cofondé l’espace de coworking Trust Square au cœur de Zurich, probablement la plus grande plaque tournante mondiale pour les entreprises de la blockchain, ainsi que la société Forctis, active dans les monnaies électroniques. Moflix, une start-up qui simplifiera la distribution des abonnements mobiles, est au stade de projet. «Je m’intéresse à la question de savoir comment rendre quelque chose plus efficace en utilisant la technologie», dit Marc Degen. Moflix ne sera probablement pas son dernier projet.",,"Cofondateur de Modum.io et de Moflix, Zurich",41 ans,,entrepreneurs,,,,,,,,,,,,,,,img/2018/teaser/marc_degen.jpg
14,15,paul-olivier-dehaye,"CEO Personaldata.io, Lausanne",f-leaders,Leaders,,f-moins-40,f-romand,f-homme,Services informatiques, https://www.letemps.ch/monde/facebook-desormais-un-puissant-outil-dinfluence-vendu-plus-offrant,https://www.linkedin.com/in/paulolivierdehaye/,is-new,Paul-Olivier Dehaye,img/2018/paul_olivier_dehaye.jpg,Olivier Vogelsang,"L’organisation à but non lucratif Personaldata.io est la conséquence logique du parcours de Paul-Olivier Dehaye. Son objectif est de sensibiliser un plus grand nombre de personnes à l’importance de la sécurité des données. «Les utilisateurs ne comprennent plus l’écosystème complexe de l’information», dit-il. Facebook par exemple a mis en place une structure que l’entreprise ne peut plus réguler elle-même.
Paul-Olivier Dahaye a contribué à l’explosion du scandale de l’abus de données de Cambridge Analytica. Déjà auparavant, alors qu’il était professeur assistant à l’Université de Zurich, il remettait en question les transferts de données entre la plateforme de cours Coursera et les institutions de formation. A une époque où la majorité était encore dans une euphorie presque aveugle quant aux nouvelles possibilités des grandes plateformes, il voyait déjà les problèmes qui nous tomberaient dessus les années suivantes: protection insuffisante des données, méconnaissance des droits numériques et érosion de la confiance d’une partie de la population.
Paul-Olivier Dehaye veut provoquer un choc, et en a provoqué. Ses révélations ont conduit beaucoup de monde à remettre en question son comportement sur internet.",,"CEO Personaldata.io, Lausanne",37 ans,«Facebook est désormais un puissant outil d’influence vendu au plus offrant» ,leaders,,,,,,,,,,,,,,,img/2018/teaser/paul_olivier_dehaye.jpg
15,16,leila-delarive,"Cofondatrice et CEO d’Amplify, Lausanne",f-bienfaiteurs,Bienfaiteurs,,f-plus-40,f-romand,f-femme,Services informatiques, https://www.letemps.ch/suisse/leila-delarive-fred-valet-architectes-be-curious,https://www.linkedin.com/in/leiladelarive/,is-new,Leila Delarive,img/2018/leila_delarive.jpg,Jean-Christophe Bott |Keystone,"Leila Delarive recueille des fonds pour les ONG avec une plateforme numérique qui sensibilise et attire l’attention sur les questions humanitaires. Encore en phase bêta, la start-up Amplify devrait vraiment démarrer début octobre. Pour la première fois, le financement est assuré par des investisseurs en partenariat avec de grandes ONG européennes et américaines. Avec la Fondation Empowerment à Lausanne, cette femme de 41 ans informe aussi sur les effets des technologies en plein essor. Juriste de formation, Leila Delarive s’est tôt spécialisée dans le droit de la communication, a donné une voix aux gens et les a soutenus dans la défense de leurs droits.
«C’est important pour moi d’enseigner aux autres comment s’adapter au changement tout en s’engageant pour les défendre», explique-t-elle. Après le lancement d’Amplify en Suisse, elle prévoit d’ouvrir un bureau à San Francisco, d’où seront gérées les activités américaines dès le troisième trimestre 2019. Leila Delarive est double nationale Suisse et Iranienne, mariée et mère de deux enfants.",,"Cofondatrice et CEO d’Amplify, Lausanne",41 ans,"«Leila Delarive et Fred Valet, les architectes de Be Curious» ",bienfaiteurs,,,,,,,,,,,,,,,img/2018/teaser/leila_delarive.jpg
