,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,cardSection6Text,URL,Image_URL,File exists
38,39,Oliver Herren,"CIO Digitec, fondateur de True Wealth, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Oliver_Herren_portrait.jpg,,© Tina Sturzenegger,New,39 ans,f-moins-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://ch.linkedin.com/in/oliver-herren-60a6704a,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=oliver-herren,Oliver_Herren_portrait.jpg,yes
39,40,Christian Hirsig,"Fondateur de Powercoders, Berne",f-do-gooders,Do-Gooders,img/2018/Christian_Hirsig_Portrait.jpg,,DR?,,38 ans,f-moins-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://ch.linkedin.com/in/christianhirsig,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-hirsig,Christian_Hirsig_Portrait.jpg,yes
40,41,Caroline Hirt,"Fondatrice et directrice du Museum of Digital Art, Zurich",f-creatives,Creatives,img/2018/Caroline_Hirt_Portrait.jpg,,DR?,,40 ans,f-plus-40,f-alemanique,f-femme,Développement durable,(liens Le Temps),https://ch.linkedin.com/in/caroline-hirt-00465814a/en,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=caroline-hirt,Caroline_Hirt_Portrait.jpg,yes
41,42,Klaus Hommels,"Fondateur Lakestar, Zurich",f-investors,Investors,img/2018/Klaus_Hommels_Portrait.jpg,,DR?,,51 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/klaushommels,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=klaus-hommels,Klaus_Hommels_Portrait.jpg,yes
42,43,Urs Hölzle,"Ingénieur SVP, Google, Mountain View (Etats-Unis)",f-expats,Expats,img/2018/Urs_Hozle_Portrait.jpg,,© Jos Schmid,,55 ans,f-plus-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/urs-hölzle-b3168365,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=urs-holzle,Urs_Hozle_Portrait.jpg,yes
43,44,Frederic Jacobs,"Security Engineer, Apple, Cupertino (Californie)",f-tech-leaders,Tech Leaders,img/2018/Frederic_Jacobs_Portrait.jpg,,© David Wagnières,New,27 ans,f-moins-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/fredericjacobs,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=frederic-jacobs,Frédéric_Jacobs_Portrait.jpg,yes
44,45,Gilles Jobin,"Chorégraphe de la Cie Gilles Jobin, Genève",f-creatives,Creatives,img/2018/Gilles_Jobin_Portrait.jpg,,© Keystone ,New,54 ans,f-plus-40,f-romand,f-homme,Art,(liens Le Temps),https://fr.linkedin.com/company/cie-gilles-jobin,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=gilles-jobin,Gilles_Jobin_Portrait.jpg,yes
45,46,Frédéric Kaplan,"Professeur d’humanités digitales, EPFL Lausanne",f-researchers,Researchers,img/2018/Frederic_Kaplan_Portrait.jpg,,© Eddy Mottaz,New,44 ans,f-plus-40,f-romand,f-homme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/frederickaplan,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=frederic-kaplan,Frédéric_Kaplan_Portrait.jpg,yes
46,47,Pascal Kaufmann,"Cofondateur et CEO de Starmind International, Küsnacht (ZH)",f-tech-leaders,Tech Leaders,img/2018/Pascal_Kaufmann_Portrait.jpg,,© Daniel Kellenberger ,New,40 ans,f-plus-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/pascal-kaufmann-b2890246,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pascal-kaufmann,Pascal_Kaufmann_Portrait.jpg,yes
47,48,André Kudelski,"Chef et copropriétaire du groupe Kudelski, Cheseaux (VD) et Phoenix (Arizona)",f-corporates,Corporates,img/2018/Andre_Kudelski_Portrait.jpg,,© François Wavre|Lundi 13,,57 ans,f-plus-40,f-romand,f-homme,Services informatiques,(liens Le Temps),https://ch.linkedin.com/in/andre-kudelski-17570,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=andre-kudelski,André_Kudelski_Portrait.jpg,yes
48,49,Cédric Köhler,"Managing Partner Creathor, Zurich et Bad Homburg (D)",f-investors,Investors,img/2018/missing.jpg,,DR?,,39 ans,f-moins-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/cedrickoehler/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=cedric-kohler,missing.jpg,no
49,50,Sophie Lamparter,"Cofondatrice de Dart 17, San Francisco",f-creatives,Creatives,img/2018/Sophie_Lamparter_Portrait.jpg,,DR?,New,41 ans,f-plus-40,expat,f-femme,Recherche,(liens Le Temps),https://www.linkedin.com/in/sophielamparter,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=sophie-lamparter,Sophie_Lamparter_Portrait.jpg,yes
50,51,Moritz Lechner,"Fondateur et coprésident du conseil d’administration de Sensirion, Stäfa (ZH)",f-corporates,Corporates,img/2018/Moritz_Lechner_Portrait.jpg,,DR?,,49 ans,f-plus-40,f-alemanique,f-homme,Développement durable,(liens Le Temps),https://at.linkedin.com/in/moritz-lechner-542543160,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=moritz-lechner,Moritz_Lechner_Portrait.jpg,yes
51,52,Adrian Locher,"Fondateur DeinDeal, cofondateur Merantix, Berlin et Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/Adrian_Locher_Portrait.jpg,,DR?,,36 ans,f-moins-40,f-alemanique,f-homme,Recherche,(liens Le Temps),https://de.linkedin.com/in/adrianlocher,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=adrian-locher,Adrian_Locher_Portrait.jpg,yes
52,53,Ariel Lüdi,"Fondateur de Hammer Team, Cham (ZG)",f-investors,Investors,img/2018/Ariel_Ludi_Portrait.jpg,,© Martin Vogel ,,59 ans,f-plus-40,f-alemanique,f-homme,Finance,(liens Le Temps),https://ch.linkedin.com/in/arielluedi,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=ariel-ludi,Ariel_Ludi_Portrait.jpg,yes
53,54,Christophe Maire,"Fondateur et CEO d’Atlantic Labs, Berlin",f-expats,Expats,img/2018/Christophe_Maire_Portrait.jpg,,© A. Chudowski/WirtschaftsWoche,,52 ans,f-plus-40,expat,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/christophe-maire-9073196/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christophe-maire,Christophe_Maire_Portrait.jpg,yes
54,55,David Marcus,"Vice-président Blockchain, Facebook, Menlo Park (Californie)",f-corporates,Corporates,img/2018/David_Marcus_Portrait.jpg,,© David Paul Morris,,45 ans,f-plus-40,expat,f-homme,Blockchain,(liens Le Temps),https://www.linkedin.com/in/dmarcus/fr,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-marcus,David_Marcus_Portrait.jpg,yes
55,56,Marta Martinez-Camara,"Cofondatrice et CEO de Girlscoding.org, Lausanne",f-do-gooders,Do-Gooders,img/2018/Marta_Martinez_Camara_Portrait.jpg,,DR?,New,32 ans,f-moins-40,f-romand,f-femme,Recherche,(liens Le Temps),https://ch.linkedin.com/in/marta-martinez-camara-84284bb4,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=marta-martinez-camara,Marta_Martinez_Camara_Portrait.jpg,yes
56,57,Pierre Maudet,"Président du gouvernement genevois, Genève",f-enabler,Enabler,img/2018/Pierre_Maudet_Portrait.jpg,,DR?,New,40 ans,f-plus-40,f-romand,f-homme,???,(liens Le Temps),https://ch.linkedin.com/in/pierremaudet,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=pierre-maudet-,Pierre_Maudet_Portrait.jpg,yes
57,58,Lorenz Meier,"Fondateur PX4, Zurich",f-tech-leaders,Tech Leaders,img/2018/Lorenz_Meier_Portrait.jpg,,© Oliver Bartenschlager,New,34 ans,f-moins-40,f-alemanique,f-homme,robotique-drone?,(liens Le Temps),https://ch.linkedin.com/in/meierlorenz,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=lorenz-meier,Lorenz_Meier_Portrait.jpg,yes
58,59,Jordi Montserrat,"Directeur de Venturelab, Lausanne",f-enabler,Enabler,img/2018/Jordi_Montserrat_Portrait.jpg,,© Michael Kretz,,48 ans,f-plus-40,f-romand,f-homme,Finance,(liens Le Temps),https://www.linkedin.com/in/jordimontserrat/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jordi-montserrat,Jordi_Montserrat_Portrait.jpg,yes
59,60,Monique Morrow,"Cofondatrice et présidente de The Humanized Internet, Zurich",f-do-gooders,Do-Gooders,img/2018/Monique_Morrow_Portrait.jpg,,DR?,New,61 ans,f-plus-40,f-alemanique,f-femme,Blockchain?,(liens Le Temps),https://www.linkedin.com/in/moniquejeannemorrow/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=monique-morrow,Monique_Morrow_Portrait.jpg,yes
60,61,Michael Nilles,"Chief Digital Officer (CDO) de Schindler, Ebikon",f-corporates,Corporates,img/2018/Michael_Nilles_Portrait.jpg,,DR?,New,45 ans,f-plus-40,f-alemanique,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/michaelnilles/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=michael-nilles,Michael_Nilles_Portrait.jpg,yes
61,62,David Nüscheler,"Vice-président Enterprise Technology Adobe, Salt Lake City, Utah",f-expats,Expats,img/2018/David_Nuscheler_Portrait.jpg,,DR?,New,43 ans,f-plus-40,expat,f-homme,Services informatiques,(liens Le Temps),https://www.linkedin.com/in/davidnuescheler/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=david-nuscheler,David_Nuscheler_Portrait.jpg,yes
62,63,Claudia Pletscher,"Responsable du développement et de l’innovation de La Poste Suisse, Berne",f-corporates,Corporates,img/2018/Claudia_Pletscher_Portrait.jpg,,© Fu-Photo,New,44 ans,f-plus-40,f-alemanique,f-femme,Négoce,(liens Le Temps),https://www.linkedin.com/in/claudia-pletscher-800a8a/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=claudia-pletscher,Claudia_Pletscher_Portrait.jpg,yes
