,cardId,Name,cardSubtitle,cardFilter4Tri,cardFilter4Display,Image,Unnamed: 6,Crédit image,New,Age,cardFilter0Tri,cardFilter1Tri,cardFilter2Tri,cardFilter3Tri,cardFilter5Display,cardSection5Text,Recherche Google,cardSection6Text,URL,Image_URL,File exists
26,26,Karmen Franinovic,"Directrice d’Interaction Design, Zurich",f-creatives,Creatives,img/2018/karmen_franinovic.jpg,,DR?,,42 ans,,f-plus-40,f-alemanique,f-femme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Karmen+Franinovic”,https://www.linkedin.com/in/karmenfraninovic/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=karmen-franinovic,karmen_franinovic.jpg,yes
27,27,Thomas Frey,"Fondateur de Giants Software, Zurich",f-creatives,Creatives,img/2018/thomas_frey.jpg,,© Jan Graber,,37 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Thomas+Frey”,https://www.linkedin.com/in/thomas-frey-73138b13/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=thomas-frey,thomas_frey.jpg,yes
28,28,Alexander Fries,"General Partner Alpana Ventures, San Matteo, Etats-Unis",f-expats,Expats,img/2018/alexandre_fries.jpg,,DR?,,51 ans,,f-plus-40,f-expat,f-homme,Négoce,«Les recettes d'entrepreneurs romands face au choc de la Silicon Valley» | https://www.letemps.ch/economie/recettes-dentrepreneurs-romands-face-choc-silicon-valley,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Alexander+Fries”,https://www.linkedin.com/in/alexanderfries/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=alexander-fries,alexandre_fries.jpg,yes
29,29,Luca Maria Gambardella,"Directeur de l’Institut Dalle Maolle d’études sur l’intelligence artificielle, Lugano",f-researchers,Researchers,img/2018/luca_maria_gambardella.jpg,,DR?,New,56 ans,,f-plus-40,f-italienne,f-homme,Recherche,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Luca+Maria+Gambardella”,,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=luca-maria-gambardella,luca_maria_gambardella.jpg,yes
30,30,Jörg Gasser,"Secrétariat d'Etat aux questions financières internationales, Berne",f-enabler,Enabler,img/2018/jorg_gasser.jpg,,DR?,New,49 ans,,f-plus-40,f-alemanique,f-homme,Finance,«Les discussions avec la France sur l’accès au marché sont très constructives» | https://www.letemps.ch/economie/discussions-france-lacces-marche-tres-constructives,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Jörg+Gasser”,,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=jorg-gasser-,jorg_gasser.jpg,yes
31,31,Solange Ghernaouti,"Professeure de cybersécurité, Université de Lausanne",f-researchers,Researchers,img/2018/solange_ghernaouti.jpg,,© Olivier Vogelsang,New,59 ans,,f-plus-40,f-romand,f-femme,Recherche,Solange Ghernaouti: «Comment croire que les excuses de Facebook soient sincères?» | https://www.letemps.ch/economie/solange-ghernaouti-croire-excuses-facebook-soient-sinceres,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Solange+Ghernaouti”,,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=solange-ghernaouti,solange_ghernaouti.jpg,yes
32,33,Raphaël Gindrat,Cofondateur et CEO de Bestmile,f-unicorn-raisers,Unicorn raisers,img/2018/raphael_gindrat.jpg,,"© François Wavre, Lundi 13",New,30 ans,,f-moins-40,f-romand,f-homme,Transport,"La start-up lausannoise BestMile veut dominer le secteur des navettes autonomes|https://www.letemps.ch/economie/startup-lausannoise-bestmile-veut-dominer-secteur-navettes-autonomes
",https://www.google.ch/search?q=site%3Awww.letemps.ch+“Raphaël+Gindrat”,https://www.linkedin.com/in/rgindrat/,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=raphael-gindrat,raphael_gindrat.jpg,yes
33,34,Fabio Gramazio,"Architecte à l’EPFZ, Zurich",f-creatives,Creatives,img/2018/fabio_gramazio.jpg,,DR?,New,48 ans,,f-plus-40,f-alemanique,f-homme,Recherche,«Ces robots qui construisent des maisons» | https://www.letemps.ch/economie/robots-construisent-maisons,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Fabio+Gramazio”,https://ch.linkedin.com/in/fabiogramazio,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=fabio-gramazio,fabio_gramazio.jpg,yes
34,35,Manuel Grenacher,"Fondateur de Mila et de Coresystems, Windisch (AG)",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/manuel_grenacher.jpg,,DR?,New,37 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Manuel+Grenacher”,https://www.linkedin.com/in/grenacher,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=manuel-grenacher,manuel_grenacher.jpg,yes
35,36,Markus Gross,"Professeur EPFL d’informatique, doyen du Computer Graphics Laboratory, directeur de Disney Research, Zurich",f-creatives,Creatives,"img/2018/image trop grande, mauvais recadrage, 3:2 mauvais markus_gross.jpg",http://mdb.ringier.ch/dcx_rng/documents#/doc/doc6vzzb4o1q8wy99pj2ma,Keystone,,55 ans,,f-plus-40,f-alemanique,f-homme,Recherche,«Physique appliquée du dessin animé» | https://www.letemps.ch/sciences/physique-appliquee-dessin-anime,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Markus+Gross”,https://ch.linkedin.com/in/markus-gross-961684,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=markus-gross,"image trop grande, mauvais recadrage, 3:2 mauvais markus_gross.jpg",no
36,37,Daniel Gutenberg,"Partner VI Partners, Zoug",f-investors,Investors,"img/2018/image trop haute, mauvais recadrage daniel_gutenberg.jpg",,Tina Sturzenegger,,52 ans,,f-plus-40,f-alemanique,f-homme,Services informatiques,«Advanon promet des vacances illimitées pour attirer les talents» | https://www.letemps.ch/economie/advanon-promet-vacances-illimitees-attirer-talents,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Daniel+Gutenberg”,https://ch.linkedin.com/in/danielgutenberg,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=daniel-gutenberg,"image trop haute, mauvais recadrage daniel_gutenberg.jpg",no
37,38,Stefan Heitmann,"CEO et fondateur de MoneyPark, Pfäffikon (SZ)",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/stefan_heitmann.jpg,,© PHOTO-VERTIGE,New,41 ans,,f-plus-40,f-alemanique,f-homme,Finance,«La chasse aux meilleurs prix comme modèle d’affaires» | https://www.letemps.ch/economie/chasse-aux-meilleurs-prix-modele-daffaires,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Stefan+Heitmann”,https://ch.linkedin.com/in/dr-stefan-a-heitmann-73883955,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=stefan-heitmann,stefan_heitmann.jpg,yes
38,39,Oliver Herren,"CIO Digitec, fondateur de True Wealth, Zurich",f-serial-entrepreneurs,Serial Entrepreneurs,img/2018/oliver_herren.jpg,,© Tina Sturzenegger,New,39 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,«Digitec et Galaxus sont sans cesse exposés aux attaques de pirates» | https://www.letemps.ch/economie/digitec-galaxus-cesse-exposes-aux-attaques-pirates,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Oliver+Herren”,https://ch.linkedin.com/in/oliver-herren-60a6704a,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=oliver-herren,oliver_herren.jpg,yes
39,40,Christian Hirsig,"Fondateur de Powercoders, Berne",f-do-gooders,Do-Gooders,img/2018/christian_hirsig.jpg,,DR?,,38 ans,,f-moins-40,f-alemanique,f-homme,Services informatiques,,https://www.google.ch/search?q=site%3Awww.letemps.ch+“Christian+Hirsig”,https://ch.linkedin.com/in/christianhirsig,https://labs.letemps.ch/interactive/2018/_digital-shapers/?portrait=christian-hirsig,christian_hirsig.jpg,yes
